trade_date,ticker,ticker_name,sector,industry,open_price,high_price,low_price,close_price,volume,daily_return
2024-07-15,AAPL,Apple Inc.,Technology,Consumer Electronics,236.47999572753906,237.22999572753906,233.08999633789062,234.39999389648438,62631300,
2024-07-16,AAPL,Apple Inc.,Technology,Consumer Electronics,235.0,236.27000427246094,232.3300018310547,234.82000732421875,43234300,0.0017918662059346335
2024-07-17,AAPL,Apple Inc.,Technology,Consumer Electronics,229.4499969482422,231.4600067138672,226.63999938964844,228.8800048828125,57345900,-0.025295980990260425
2024-07-18,AAPL,Apple Inc.,Technology,Consumer Electronics,230.27999877929688,230.44000244140625,222.27000427246094,224.17999267578125,66034600,-0.020534830945314275
2024-07-19,AAPL,Apple Inc.,Technology,Consumer Electronics,224.82000732421875,226.8000030517578,223.27999877929688,224.30999755859375,49151500,0.0005799129586043783
2024-07-22,AAPL,Apple Inc.,Technology,Consumer Electronics,227.00999450683594,227.77999877929688,223.08999633789062,223.9600067138672,48201800,-0.0015602998017738567
2024-07-23,AAPL,Apple Inc.,Technology,Consumer Electronics,224.3699951171875,226.94000244140625,222.67999267578125,225.00999450683594,39960300,0.004688282557118395
2024-07-24,AAPL,Apple Inc.,Technology,Consumer Electronics,224.0,224.8000030517578,217.1300048828125,218.5399932861328,61777600,-0.02875428371474653
2024-07-25,AAPL,Apple Inc.,Technology,Consumer Electronics,218.92999267578125,220.85000610351562,214.6199951171875,217.49000549316406,51391200,-0.004804556718339459
2024-07-26,AAPL,Apple Inc.,Technology,Consumer Electronics,218.6999969482422,219.49000549316406,216.00999450683594,217.9600067138672,41601300,0.002161024455525684
2024-07-29,AAPL,Apple Inc.,Technology,Consumer Electronics,216.9600067138672,219.3000030517578,215.75,218.24000549316406,36311800,0.0012846337432190769
2024-07-30,AAPL,Apple Inc.,Technology,Consumer Electronics,219.19000244140625,220.3300018310547,216.1199951171875,218.8000030517578,41643800,0.0025659711533103646
2024-07-31,AAPL,Apple Inc.,Technology,Consumer Electronics,221.44000244140625,223.82000732421875,220.6300048828125,222.0800018310547,50036300,0.014990853444005525
2024-08-01,AAPL,Apple Inc.,Technology,Consumer Electronics,224.3699951171875,224.47999572753906,217.02000427246094,218.36000061035156,62501000,-0.016750725819666967
2024-08-02,AAPL,Apple Inc.,Technology,Consumer Electronics,219.14999389648438,225.60000610351562,217.7100067138672,219.86000061035156,105568600,0.006869389978967133
2024-08-05,AAPL,Apple Inc.,Technology,Consumer Electronics,199.08999633789062,213.5,196.0,209.27000427246094,119548600,-0.0481669985831521
2024-08-06,AAPL,Apple Inc.,Technology,Consumer Electronics,205.3000030517578,209.99000549316406,201.07000732421875,207.22999572753906,69660500,-0.009748212850733573
2024-08-07,AAPL,Apple Inc.,Technology,Consumer Electronics,206.89999389648438,213.63999938964844,206.38999938964844,209.82000732421875,63516400,0.01249824663455068
2024-08-08,AAPL,Apple Inc.,Technology,Consumer Electronics,213.11000061035156,214.1999969482422,208.8300018310547,213.30999755859375,47161100,0.016633257613904107
2024-08-09,AAPL,Apple Inc.,Technology,Consumer Electronics,212.10000610351562,216.77999877929688,211.97000122070312,216.24000549316406,42201600,0.013735914716165532
2024-08-12,AAPL,Apple Inc.,Technology,Consumer Electronics,216.07000732421875,219.50999450683594,215.60000610351562,217.52999877929688,38028100,0.005965562584919537
2024-08-13,AAPL,Apple Inc.,Technology,Consumer Electronics,219.00999450683594,221.88999938964844,219.00999450683594,221.27000427246094,44155300,0.017193056195245138
2024-08-14,AAPL,Apple Inc.,Technology,Consumer Electronics,220.57000732421875,223.02999877929688,219.6999969482422,221.72000122070312,41960600,0.002033700635211577
2024-08-15,AAPL,Apple Inc.,Technology,Consumer Electronics,224.60000610351562,225.35000610351562,222.75999450683594,224.72000122070312,46414000,0.01353057903429189
2024-08-16,AAPL,Apple Inc.,Technology,Consumer Electronics,223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,44340200,0.0059184844421056315
